"","log2FC","P.Value","adj.P.Val","Expression"
"ENSG00000235508",-7.06664815984062,2.438654251794e-16,1.29120325121303e-15,8.56695474631866
"ENSG00000202329",-5.11393993662467,2.76973405162178e-16,1.45122523746433e-15,8.88482658612686
"ENSG00000271723",-4.2338704865657,3.46349548185532e-16,1.79601879110642e-15,9.23052225463651
"ENSG00000270828",2.06864871211749,3.65731210704926e-16,1.87717141820998e-15,9.01002798412256
"ENSG00000242407",-6.25074090069371,3.7859357001044e-16,1.92356126985102e-15,8.48628354026292
"ENSG00000278724",-3.30820417698655,4.1356003344029e-16,2.06105022445618e-15,8.43065407787131
"ENSG00000158863",-7.19281794870846,4.13849051033945e-16,2.06105022445618e-15,6.97180168287755
"ENSG00000138767",-8.76987325996187,4.53874158571919e-16,2.23822256629093e-15,5.16737584640011
"ENSG00000233805",4.706119565411,5.45997852853285e-16,2.666377863934e-15,6.70901652598305
"ENSG00000266729",5.5585623798023,6.51250800677613e-16,3.12428538085215e-15,9.04238485906171
"ENSG00000215374",-3.95555885262248,6.52186809124207e-16,3.12428538085215e-15,8.20068523189866
"ENSG00000238840",-3.8881646496294,6.68348990711401e-16,3.17150511630033e-15,7.77510740974143
"ENSG00000076944",4.39992493091457,7.19718010184544e-16,3.38334728152173e-15,8.44812627785093
"ENSG00000124564",4.12016499643234,8.0717865006705e-16,3.75935982392339e-15,8.38207938350766
"ENSG00000254872",3.89275888992537,9.50871909869541e-16,4.38796853820531e-15,6.74625584258265
"ENSG00000274272",-7.19189210248503,1.22504443954342e-15,5.60179411900311e-15,7.07713158171163
"ENSG00000207264",5.81361758121147,1.52849553647109e-15,6.92642571932394e-15,8.43755061908321
"ENSG00000263370",5.10073249508197,1.61293375134214e-15,7.24380068683123e-15,10.4082870108535
"ENSG00000137872",-5.38220911484287,1.72279850960302e-15,7.66874026840991e-15,8.19272317478985
"ENSG00000204540",-8.61105418149957,1.80881089112878e-15,7.98098138805067e-15,7.0736814810658
"ENSG00000271624",-5.05723484202158,1.98028290155558e-15,8.66158521289095e-15,6.58276905035722
"ENSG00000249662",8.11666080465819,3.23027128569387e-15,1.40071246267588e-14,8.95584504122556
"ENSG00000198700",5.06576623370779,4.10426406221025e-15,1.76448275495022e-14,9.63281162368289
"ENSG00000279366",6.82849450587851,4.56925374034105e-15,1.94774121304368e-14,9.64106908093198
"ENSG00000172809",11.4450698853367,5.19219438952488e-15,2.19300399846394e-14,8.60446781218722
"ENSG00000248229",-6.18468966194567,5.23181868420821e-15,2.19300399846394e-14,9.85555703238592
"ENSG00000170011",2.97760161185091,5.45651154135225e-15,2.2548992179723e-14,8.59852952807219
"ENSG00000115607",-7.06170128226956,5.46913925631453e-15,2.2548992179723e-14,6.14825234907473
"ENSG00000121067",8.9248715977424,5.74663720862361e-15,2.35004757393307e-14,8.56739625305592
"ENSG00000241794",5.20513711069365,5.84423686750718e-15,2.35178323166201e-14,7.63126295468287
"ENSG00000264971",-6.28864776751382,5.84439172878232e-15,2.35178323166201e-14,10.14651593362
