"","log2FC","P.Value","adj.P.Val","Expression"
"ENSG00000226820",3.32108434563087,2.7687746539729e-12,7.17883325231118e-12,7.24643331507074
"ENSG00000257966",-1.86936917179938,2.81504241782967e-12,7.26136582650422e-12,10.2785356965238
"ENSG00000231767",-2.16615320110724,2.86798710634803e-12,7.3601914004748e-12,10.5927001868547
"ENSG00000126353",4.282262928783,2.9661816668489e-12,7.57355014428932e-12,6.64078231672379
"ENSG00000101898",-3.24859848707289,3.30263369406961e-12,8.39002398038897e-12,9.769295164219
"ENSG00000261564",5.52742467306171,3.58860836543804e-12,9.07070355686098e-12,7.37476271356676
"ENSG00000233012",3.35973207586317,4.55764986305593e-12,1.14624894055857e-11,6.86578098930026
"ENSG00000129116",-4.07641266786135,4.74437221228409e-12,1.18727324516363e-11,9.56322955806079
"ENSG00000222094",-4.16055077357247,4.79347686219691e-12,1.19362319885398e-11,5.4392872804622
"ENSG00000254090",-2.29378656192455,4.91184469896364e-12,1.21707284905355e-11,7.75189265643034
"ENSG00000178726",6.55438190991224,5.20073800301346e-12,1.28233883113518e-11,6.45599216580698
"ENSG00000266729",-2.78999061017307,5.2546566153498e-12,1.28931330610778e-11,9.04238485906171
"ENSG00000242182",2.72142860128019,6.01948792291267e-12,1.46980700253644e-11,8.15534056773899
"ENSG00000232702",-6.35015722573311,6.313717206577e-12,1.53420278014891e-11,8.32157866589075
"ENSG00000172148",1.93517148562512,6.67787391479386e-12,1.61488970151025e-11,8.15077008909312
"ENSG00000117877",-4.52854670656874,6.86066699737946e-12,1.65115574147458e-11,5.5824870360492
"ENSG00000055813",-3.29311395367046,7.50807229157293e-12,1.7912369838405e-11,6.59108280160491
"ENSG00000250164",11.144158606286,7.5139364530884e-12,1.7912369838405e-11,4.78375564338652
"ENSG00000260769",5.44226172781992,8.93107237370651e-12,2.1190233037615e-11,7.02754742784718
"ENSG00000234286",-6.77679458782477,9.72820696803926e-12,2.29731835911913e-11,5.01288586945162
"ENSG00000228882",2.59559106882216,1.67545678554264e-11,3.93810636975676e-11,9.02392938022211
"ENSG00000149972",-2.38543361274361,1.82791872758223e-11,4.2764796277854e-11,8.16089340190759
"ENSG00000281398",2.2485750773128,1.94598652388203e-11,4.53162602552157e-11,8.14741185358623
"ENSG00000239300",-8.13210583302273,2.09513940359026e-11,4.85647520740046e-11,4.51805137041276
"ENSG00000214141",6.44363798172215,2.19277241269236e-11,5.05947029167090e-11,6.64900399114699
"ENSG00000274202",-4.21486557475831,3.22157160517802e-11,7.39931743107098e-11,9.69853706102219
"ENSG00000105507",-4.67154225207688,3.32673329144946e-11,7.60612202545034e-11,9.69240618521717
"ENSG00000155087",-6.26896868568659,3.45951771321797e-11,7.87392493098931e-11,5.55442806454849
"ENSG00000119969",-2.0567746316689,3.6107795686907e-11,8.18118073446586e-11,10.866908569597
"ENSG00000233656",-7.35629032962061,4.3679026761333e-11,9.85226478069528e-11,6.71722226963369
"ENSG00000273319",-3.00355768889273,4.49689932897061e-11,1.0097948046751e-10,7.57058648893466
"ENSG00000180745",5.31484629350316,4.94057882399421e-11,1.10449384376404e-10,6.19340709877452
"ENSG00000197540",5.03639142661887,5.15895184014563e-11,1.14820919274038e-10,9.80028333827676
"ENSG00000185177",2.28305983911924,5.46803218701381e-11,1.2116388502502e-10,9.48995064994473
"ENSG00000213619",4.27076534616233,5.93500294939341e-11,1.30934494892319e-10,7.30430829796412
"ENSG00000021762",2.84437777451123,6.19636221935479e-11,1.36103502023383e-10,7.30223828759502
"ENSG00000252606",-3.74057948325145,6.45723985813558e-11,1.41217028201835e-10,8.32615695973088
"ENSG00000167414",2.69922359328734,6.77071498148471e-11,1.47431585960468e-10,8.8554626632979
